VNUM	NAME	LOCALE_NAME	LEVEL	TYPE	MOV_SPEED	APPLY_TYPE0	APPLY_VALUE0	APPLY_TYPE1	APPLY_VALUE1	APPLY_TYPE2	APPLY_VALUE2	APPLY_TYPE3	APPLY_VALUE3	APPLY_TYPE4	APPLY_VALUE4	DURATION
20110	Brown_Horse_Basic	Brown Horse	75	MOUNT_TYPE_BASIC	30	APPLY_DEF_GRADE_BONUS	100	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0
20111	Brown_Horse_Mid	Brown Horse	80	MOUNT_TYPE_BASIC	30	APPLY_DEF_GRADE_BONUS	150	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0
20112	Brown_Horse_High	Brown Horse	85	MOUNT_TYPE_BASIC	30	APPLY_DEF_GRADE_BONUS	200	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0
20113	Black_Horse	Black Horse	85	MOUNT_TYPE_BASIC	30	APPLY_ATT_GRADE_BONUS	300	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0
20201	Wild_Boar_Basic	Wild Boar	75	MOUNT_TYPE_BASIC	30	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0
20202	Tiger_Basic	Tiger	75	MOUNT_TYPE_BASIC	30	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0
20203	Lion_Basic	Lion	75	MOUNT_TYPE_BASIC	30	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0
20204	Ostrich_Basic	Ostrich	75	MOUNT_TYPE_BASIC	30	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0
20205	Wild_Boar_Mid	Wild Boar	75	MOUNT_TYPE_INTERMEDIATE	40	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0
20206	Tiger_Mid	Tiger	75	MOUNT_TYPE_INTERMEDIATE	40	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0
20207	Lion_Mid	Lion	75	MOUNT_TYPE_INTERMEDIATE	40	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0
20208	Ostrich_Mid	Ostrich	75	MOUNT_TYPE_INTERMEDIATE	40	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0
20209	Wild_Boar_High	Wild Boar	75	MOUNT_TYPE_ADVANCED	50	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0
20210	Tiger_High	Tiger	75	MOUNT_TYPE_ADVANCED	50	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0
20211	Lion_High	Lion	75	MOUNT_TYPE_ADVANCED	50	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0
20212	Ostrich_High	Ostrich	75	MOUNT_TYPE_ADVANCED	50	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0
20213	Horse_Basic_Alt	Horse	75	MOUNT_TYPE_BASIC	30	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0
20214	Horse_Mid_Alt	Horse	75	MOUNT_TYPE_INTERMEDIATE	40	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0
20215	Horse_High_Alt	Horse	75	MOUNT_TYPE_ADVANCED	50	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0
20216	Zebra_Basic	Zebra	75	MOUNT_TYPE_BASIC	30	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0
20217	Zebra_Mid	Zebra	75	MOUNT_TYPE_INTERMEDIATE	40	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0
20218	Zebra_High	Zebra	75	MOUNT_TYPE_ADVANCED	50	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0
20226	Racing_Mount_1	Racing Stallion	1	MOUNT_TYPE_ADVANCED	50	APPLY_MOV_SPEED	60	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0
20227	Racing_Mount_2	Racing Mare	1	MOUNT_TYPE_ADVANCED	50	APPLY_MOV_SPEED	60	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0
